name,halal_status,source
 BURGER KING SINGAPORE PTE LTD (VIVO CITY),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (WOODLANDS MRT STATION),halal,singapore halal directory
 BURGERUP,halal,singapore halal directory
 BURGERUP (YISHUN CENTRAL),halal,singapore halal directory
 BURGERUP CLASSIC,halal,singapore halal directory
 BUTCHERY KITCHEN (B2) @ TAN TOCK SENG HOSPITAL PTE LTD,halal,singapore halal directory
 BUTTER STUDIO,halal,singapore halal directory
 BUTTER STUDIO (JLN BESAR),halal,singapore halal directory
 BUTTER STUDIO (ONE KM MALL),halal,singapore halal directory
 BUTTER STUDIO (TAMPINES MALL),halal,singapore halal directory
 BYHERBS PTE LTD,halal,singapore halal directory
 C & W JAPANESE CUISINE (S3) @ FOODJUNCTION ONE KM,halal,singapore halal directory
 C M M MARKETING MANAGEMENT PTE LTD,halal,singapore halal directory
 C.M.K. 2001 RESTAURANT,halal,singapore halal directory
 CAFE @ CWSS,halal,singapore halal directory
 CAFE @ MI,halal,singapore halal directory
 CAFé @ PSS,halal,singapore halal directory
 CAFE @ ST ANDREWS HOUSE,halal,singapore halal directory
 CAFE 2B BISTRO,halal,singapore halal directory
 CAFE 9 @ MEDIACORP CAMPUS (MNGD BY FRONTIER FOOD SERVICES PTE LTD),halal,singapore halal directory
 CAFE ANGSANA,halal,singapore halal directory
 CAFE FANTASY (S9) @ HORIZON PRIMARY SCHOOL (STALL 1),halal,singapore halal directory
 CAFE SEVEN,halal,singapore halal directory
 CAFE SEVEN (ICA BUILDING),halal,singapore halal directory
 CAFE TOWER,halal,singapore halal directory
 CAFE@20 TEMBUSU (MNGD BY THOMSON CATERING),halal,singapore halal directory
 CAFE@CHANGI CITIBANK (MNGD BY SODEXO),halal,singapore halal directory
 CAFETERIA @ GE AVIATION SERVICE OPR PL SPORE (MNGD BY STAMFLES,halal,singapore halal directory
 CAFETERIA @ HPB,halal,singapore halal directory
 CAHAYA RESTAURANT,halal,singapore halal directory
