halal_status,name,source
halal,Town House,Muslim consumer group product list
haram,Town House,Muslim consumer group product list
halal,Town House,Muslim consumer group product list
haram,Town House,Muslim consumer group product list
halal,Town House,Muslim consumer group product list
halal,Town House,Muslim consumer group product list
haram,Goldfish,Muslim consumer group product list
haram,Goldfish,Muslim consumer group product list
haram,Goldfish,Muslim consumer group product list
haram,Goldfish,Muslim consumer group product list
haram,Goldfish,Muslim consumer group product list
haram,Goldfish,Muslim consumer group product list
haram,Goldfish,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Stauffers,Muslim consumer group product list
haram,Annies,Muslim consumer group product list
halal,Sunshine,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
halal,Keebler,Muslim consumer group product list
halal,Keebler,Muslim consumer group product list
halal,Keebler,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
halal,Pringles,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Dare,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Benton,Muslim consumer group product list
halal,Benton,Muslim consumer group product list
halal,Carr's,Muslim consumer group product list
halal,Carr's,Muslim consumer group product list
haram,Old London,Muslim consumer group product list
haram,Old London,Muslim consumer group product list
halal,Old London,Muslim consumer group product list
halal,Ryvita,Muslim consumer group product list
halal,Wasa,Muslim consumer group product list
halal,King's Hawaiin,Muslim consumer group product list
halal,King's Hawaiin,Muslim consumer group product list
halal,King's Hawaiin,Muslim consumer group product list
halal,King's Hawaiin,Muslim consumer group product list
halal,King's Hawaiin,Muslim consumer group product list
halal,King's Hawaiin,Muslim consumer group product list
halal,King's Hawaiin,Muslim consumer group product list
halal,Heinz,Muslim consumer group product list
halal,Heinz,Muslim consumer group product list
halal,Heinz,Muslim consumer group product list
halal,Heinz,Muslim consumer group product list
halal,French,Muslim consumer group product list
halal,French,Muslim consumer group product list
halal,French,Muslim consumer group product list
haram,French,Muslim consumer group product list
haram,French,Muslim consumer group product list
halal,French,Muslim consumer group product list
halal,French,Muslim consumer group product list
halal,French,Muslim consumer group product list
halal,French,Muslim consumer group product list
halal,French,Muslim consumer group product list
halal,A1,Muslim consumer group product list
halal,A1,Muslim consumer group product list
halal,A1,Muslim consumer group product list
halal,A1,Muslim consumer group product list
halal,A1,Muslim consumer group product list
halal,A1,Muslim consumer group product list
halal,A1,Muslim consumer group product list
halal,A1,Muslim consumer group product list
halal,A1,Muslim consumer group product list
haram,Kelloggs,Muslim consumer group product list
haram,Kelloggs,Muslim consumer group product list
haram,Kelloggs,Muslim consumer group product list
haram,Kelloggs,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
halal,Enfamil,Muslim consumer group product list
halal,Enfamil,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
haram,Pringles,Muslim consumer group product list
halal,Pringles,Muslim consumer group product list
halal,Pringles,Muslim consumer group product list
